Time (s)             ,Temperature (C) ,Relative Humidity (%)
  3.5742321014404297 ,           25.3 ,                 99.0
  5.6016151905059814 ,           25.3 ,                 99.0
  7.628968238830566  ,           25.3 ,                 99.0
  9.66036605834961   ,           25.3 ,                 99.0
 11.687794208526611  ,           25.3 ,                 99.0
 13.715143203735352  ,           25.3 ,                 99.0
 15.746602058410645  ,           25.3 ,                 99.0
 17.774007081985474  ,           25.4 ,                 99.0
 19.801454067230225  ,           25.4 ,                 99.0
 21.832802057266235  ,           25.5 ,                 99.0
 23.86024498939514   ,           25.7 ,                 99.0
 25.88755202293396   ,           25.9 ,                 99.0
 27.91910409927368   ,           26.2 ,                 99.0
 29.94640302658081   ,           26.5 ,                 99.0
 31.973841190338135  ,           26.9 ,                 99.0
 34.00516414642334   ,           27.4 ,                 99.0
 36.03262424468994   ,           27.9 ,                 99.0
 38.05999994277954   ,           28.5 ,                 99.0
 40.091350078582764  ,           29.1 ,                 99.0
 42.118821144104004  ,           29.7 ,                 99.0
 44.14605712890625   ,           30.3 ,                 99.0
 46.17764401435852   ,           31.0 ,                 99.0
 48.20495414733887   ,           31.7 ,                 99.0
 50.232425928115845  ,           32.4 ,                 99.0
 52.263832092285156  ,           33.0 ,                 99.0
 54.291244983673096  ,           33.7 ,                 99.0
 56.31877517700195   ,           34.4 ,                 99.0
 58.350046157836914  ,           35.1 ,                 99.0
 60.37744212150574   ,           35.8 ,                 99.0
 62.40483498573303   ,           36.4 ,                 99.0
 64.43616199493408   ,           37.1 ,                 99.0
 66.46369099617004   ,           37.7 ,                 99.0
 68.49098706245422   ,           38.3 ,                 99.0
 70.52247500419617   ,           38.9 ,                 99.0
 72.54982399940491   ,           39.5 ,                 99.0
 74.57722425460815   ,           40.1 ,                 99.0
 76.60869121551514   ,           40.7 ,                 99.0
 78.6359531879425    ,           41.3 ,                 99.0
 80.66346216201782   ,           41.9 ,                 99.0
 82.6947922706604    ,           42.5 ,                 99.0
 84.7221941947937    ,           43.1 ,                 99.0
 86.75352120399475   ,           43.7 ,                 99.0
 88.78090810775757   ,           44.3 ,                 99.0
 90.80842208862305   ,           44.9 ,                 99.0
 92.83977007865906   ,           45.6 ,                 98.0
 94.86728429794312   ,           46.2 ,                 98.0
 96.89460611343384   ,           46.7 ,                 98.0
 98.92600011825562   ,           47.3 ,                 97.0
100.9534330368042    ,           47.8 ,                 97.0
102.98078322410583   ,           48.3 ,                 97.0
105.01211428642273   ,           48.7 ,                 97.0
107.03956818580627   ,           49.2 ,                 96.0
109.06700205802917   ,           49.5 ,                 96.0
111.0942862033844    ,           49.9 ,                 96.0
113.12576913833618   ,           50.2 ,                 96.0
115.1532289981842    ,           50.5 ,                 96.0
117.18055510520935   ,           50.7 ,                 96.0
119.21194529533386   ,           50.9 ,                 96.0
121.23933005332947   ,           51.1 ,                 96.0
123.26677012443542   ,           51.1 ,                 96.0
125.29820013046265   ,           51.1 ,                 96.0
127.32561421394348   ,           51.1 ,                 96.0
129.35293626785278   ,           51.0 ,                 96.0
131.38443636894226   ,           50.9 ,                 96.0
133.41172122955322   ,           50.6 ,                 96.0
135.4391222000122    ,           50.4 ,                 96.0
137.47059297561646   ,           50.1 ,                 96.0
139.49796509742737   ,           49.8 ,                 96.0
141.52535009384155   ,           49.5 ,                 96.0
143.55279421806335   ,           49.1 ,                 96.0
145.58404922485352   ,           48.8 ,                 96.0
147.61152935028076   ,           48.4 ,                 96.0
149.6389102935791    ,           48.1 ,                 96.0
151.6703622341156    ,           47.8 ,                 96.0
153.69762420654297   ,           47.4 ,                 96.0
155.7251272201538    ,           47.1 ,                 96.0
157.756511926651     ,           46.8 ,                 97.0
159.78395318984985   ,           46.4 ,                 97.0
161.8113021850586    ,           46.1 ,                 97.0
163.84267807006836   ,           45.8 ,                 97.0
165.87005996704102   ,           45.5 ,                 97.0
167.89749813079834   ,           45.2 ,                 97.0
169.9289152622223    ,           44.9 ,                 98.0
171.9646601676941    ,           44.5 ,                 98.0
173.9836070537567    ,           44.2 ,                 98.0
176.01499009132385   ,           43.9 ,                 98.0
178.04248118400574   ,           43.6 ,                 98.0
180.06991314888      ,           43.4 ,                 98.0
182.10126614570618   ,           43.1 ,                 98.0
184.1311740875244    ,           42.8 ,                 98.0
186.1618721485138    ,           42.5 ,                 99.0
188.196218252182     ,           42.3 ,                 99.0
190.22614407539368   ,           42.0 ,                 99.0
192.25580430030823   ,           41.7 ,                 99.0
194.2892200946808    ,           41.5 ,                 99.0
196.31826400756836   ,           41.2 ,                 99.0
198.34722018241882   ,           41.0 ,                 99.0
200.3798110485077    ,           40.7 ,                 99.0
202.40845012664795   ,           40.5 ,                 99.0
204.43679523468018   ,           40.2 ,                 99.0
206.46511101722717   ,           40.0 ,                 99.0
208.49732112884521   ,           39.8 ,                 99.0
210.52549409866333   ,           39.5 ,                 99.0
212.55871629714966   ,           39.3 ,                 99.0
214.5854320526123    ,           39.1 ,                 99.0
216.61328101158142   ,           38.8 ,                 99.0
218.64510893821716   ,           38.6 ,                 99.0
220.6728551387787    ,           38.4 ,                 99.0
222.7004861831665    ,           38.2 ,                 99.0
224.7321012020111    ,           38.0 ,                 99.0
226.75983309745789   ,           37.8 ,                 99.0
228.7874779701233    ,           37.6 ,                 99.0
230.81509232521057   ,           37.4 ,                 99.0
232.84672212600708   ,           37.2 ,                 99.0
234.87425923347473   ,           37.0 ,                 99.0
236.90170001983643   ,           36.8 ,                 99.0
238.93328094482422   ,           36.7 ,                 99.0
240.96080923080444   ,           36.5 ,                 99.0
242.98828220367432   ,           36.3 ,                 99.0
245.01964616775513   ,           36.1 ,                 99.0
247.04723024368286   ,           35.9 ,                 99.0
249.07470417022705   ,           35.8 ,                 99.0
251.1061451435089    ,           35.6 ,                 99.0
253.13359713554382   ,           35.5 ,                 99.0
255.16102719306946   ,           35.3 ,                 99.0
257.1924901008606    ,           35.1 ,                 99.0
259.2199821472168    ,           35.0 ,                 99.0
261.24742007255554   ,           34.8 ,                 99.0
263.2787220478058    ,           34.7 ,                 99.0
265.3062741756439    ,           34.5 ,                 99.0
267.3336842060089    ,           34.4 ,                 99.0
269.3651592731476    ,           34.2 ,                 99.0
271.39261507987976   ,           34.1 ,                 99.0
273.4200301170349    ,           34.0 ,                 99.0
275.4513831138611    ,           33.8 ,                 99.0
277.47874307632446   ,           33.7 ,                 99.0
279.50617003440857   ,           33.5 ,                 99.0
281.53762316703796   ,           33.4 ,                 99.0
283.56511902809143   ,           33.3 ,                 99.0
285.592413187027     ,           33.2 ,                 99.0
287.6198582649231    ,           33.0 ,                 99.0
289.65124702453613   ,           32.9 ,                 99.0
291.678697347641     ,           32.8 ,                 99.0
293.70612120628357   ,           32.6 ,                 99.0
295.7373402118683    ,           32.5 ,                 99.0
297.76486015319824   ,           32.4 ,                 99.0
299.7922830581665    ,           32.3 ,                 99.0
301.8236620426178    ,           32.1 ,                 99.0
303.8511972427368    ,           32.0 ,                 99.0
305.8786151409149    ,           31.9 ,                 99.0
307.9100410938263    ,           31.8 ,                 99.0
309.93742203712463   ,           31.7 ,                 99.0
311.9647641181946    ,           31.5 ,                 99.0
313.99619913101196   ,           31.4 ,                 99.0
316.02363634109497   ,           31.3 ,                 99.0
318.05098009109497   ,           31.2 ,                 99.0
320.0825071334839    ,           31.1 ,                 99.0
322.10985803604126   ,           31.0 ,                 99.0
324.1372992992401    ,           30.9 ,                 99.0
326.16864824295044   ,           30.8 ,                 99.0
328.19605803489685   ,           30.7 ,                 99.0
330.2236430644989    ,           30.6 ,                 99.0
332.2548391819       ,           30.5 ,                 99.0
334.28234601020813   ,           30.4 ,                 99.0
