Time (s),Temperature (C),Relative Humidity (%)
3.5726311206817627,23.7,99.0
5.60008692741394,23.8,99.0
7.6273510456085205,23.9,99.0
9.658800840377808,24.0,99.0
11.686285018920898,24.1,99.0
13.713785171508789,24.1,99.0
15.745162010192871,24.2,99.0
17.77253293991089,24.3,99.0
19.799867868423462,24.4,99.0
21.83132314682007,24.5,99.0
23.85879397392273,24.5,99.0
25.886192798614502,24.6,99.0
27.917499780654907,24.8,99.0
29.945049047470093,24.9,99.0
31.9724280834198,25.0,99.0
34.00383687019348,25.2,99.0
36.03120303153992,25.3,99.0
38.05870485305786,25.5,99.0
40.090031147003174,25.7,99.0
42.117403984069824,25.9,99.0
44.144829988479614,26.1,99.0
46.176247119903564,26.4,99.0
48.20368504524231,26.6,99.0
50.231078147888184,26.9,99.0
52.262552976608276,27.3,99.0
54.28987002372742,27.6,99.0
56.31728792190552,28.0,99.0
58.348670959472656,28.4,99.0
60.37612199783325,28.8,99.0
62.40360498428345,29.2,99.0
64.43488311767578,29.7,99.0
66.462406873703,30.1,99.0
68.48979783058167,30.6,99.0
70.52120804786682,31.2,99.0
72.54867100715637,31.7,99.0
74.57600784301758,32.3,99.0
76.60747909545898,32.9,99.0
78.63486313819885,33.5,99.0
80.66225624084473,34.2,99.0
82.69360899925232,34.8,99.0
84.72108697891235,35.5,99.0
86.74851298332214,36.2,99.0
88.77985620498657,36.9,99.0
90.80731010437012,37.6,99.0
92.83472681045532,38.3,99.0
94.86611986160278,39.0,99.0
96.8934268951416,39.7,99.0
98.92094898223877,40.5,99.0
100.95232582092285,41.2,99.0
102.97973799705505,42.0,99.0
105.00725197792053,42.7,99.0
107.0386528968811,43.4,99.0
109.06600403785706,44.2,99.0
111.0933609008789,44.9,99.0
113.12481307983398,45.7,99.0
115.15226197242737,46.4,99.0
117.17959713935852,47.1,98.0
119.2111120223999,47.8,98.0
121.2384569644928,48.5,97.0
123.26590585708618,49.1,97.0
125.29729294776917,49.7,97.0
127.32469296455383,50.3,96.0
129.35209488868713,50.8,96.0
131.3795268535614,51.2,96.0
133.4108910560608,51.6,96.0
135.4382951259613,51.9,96.0
137.4656970500946,52.1,96.0
139.4971477985382,52.3,96.0
141.5246021747589,52.4,96.0
143.5519790649414,52.4,96.0
145.58333706855774,52.4,96.0
147.61086201667786,52.3,96.0
149.638188123703,52.1,96.0
151.6697018146515,51.9,96.0
153.69703817367554,51.7,96.0
155.72440910339355,51.4,96.0
157.7558388710022,51.0,96.0
159.78324103355408,50.7,96.0
161.8106529712677,50.4,96.0
163.83805584907532,50.1,96.0
165.86956596374512,49.8,96.0
167.89695692062378,49.4,96.0
169.92431902885437,49.1,96.0
171.95565700531006,48.8,96.0
173.98311591148376,48.5,96.0
176.01055002212524,48.1,96.0
178.04190492630005,47.8,96.0
180.0693769454956,47.4,96.0
182.09675216674805,47.1,97.0
184.12812399864197,46.8,97.0
186.155601978302,46.4,97.0
188.18304300308228,46.1,97.0
190.2144169807434,45.8,97.0
192.24181604385376,45.5,97.0
194.26921105384827,45.2,98.0
196.30067706108093,44.9,98.0
198.3280041217804,44.6,98.0
200.3554151058197,44.2,98.0
202.38290095329285,43.9,98.0
204.41426515579224,43.6,99.0
206.44170904159546,43.4,99.0
208.47311305999756,43.1,99.0
210.50058913230896,42.8,99.0
212.52790307998657,42.5,99.0
214.55934500694275,42.2,99.0
216.58671307563782,42.0,99.0
218.61417293548584,41.7,99.0
220.64556694030762,41.5,99.0
222.67302918434143,41.2,99.0
224.70037508010864,40.9,99.0
226.72788882255554,40.7,99.0
228.75928711891174,40.4,99.0
230.7865650653839,40.2,99.0
